name_msa,CAGR,volatility,score,rank,msa,msa_rank_label
"Sacramento-Roseville-Folsom, CA Metro Area",0.02524834,0.0227374258,1.1104308888,40,40900,"Rank 40 : Sacramento-Roseville-Folsom, CA Metro Area"
"Denver-Aurora-Centennial, CO Metro Area",0.0293173342,0.0272175041,1.0771499884,41,19740,"Rank 41 : Denver-Aurora-Centennial, CO Metro Area"
"Santa Maria-Santa Barbara, CA Metro Area",0.0219144024,0.0203572869,1.0764893421,42,42200,"Rank 42 : Santa Maria-Santa Barbara, CA Metro Area"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",0.0326402359,0.030398974,1.0737282068,43,33100,"Rank 43 : Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",0.0320777322,0.029938626,1.0714497134,44,34820,"Rank 44 : Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area"
"Louisville/Jefferson County, KY-IN Metro Area",0.0243477773,0.0228758843,1.0643425594,45,31140,"Rank 45 : Louisville/Jefferson County, KY-IN Metro Area"
"Cape Coral-Fort Myers, FL Metro Area",0.0343494347,0.0323531844,1.0617018168,46,15980,"Rank 46 : Cape Coral-Fort Myers, FL Metro Area"
"Dayton-Kettering-Beavercreek, OH Metro Area",0.0192586133,0.0181453921,1.0613500779,47,19430,"Rank 47 : Dayton-Kettering-Beavercreek, OH Metro Area"
"Kansas City, MO-KS Metro Area",0.0132179318,0.0124616268,1.0606907158,48,28140,"Rank 48 : Kansas City, MO-KS Metro Area"
"Naples-Marco Island, FL Metro Area",0.0381439662,0.0360449219,1.0582341216,49,34940,"Rank 49 : Naples-Marco Island, FL Metro Area"
"Janesville-Beloit, WI Metro Area",0.0224652988,0.0212806191,1.0556694154,50,27500,"Rank 50 : Janesville-Beloit, WI Metro Area"
"Eugene-Springfield, OR Metro Area",0.0214468625,0.020359964,1.0533841034,51,21660,"Rank 51 : Eugene-Springfield, OR Metro Area"
"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.0229863616,0.0218325373,1.052848841,52,31080,"Rank 52 : Los Angeles-Long Beach-Anaheim, CA Metro Area"
"Kenosha, WI Metro Area",0.0200184145,0.0191039344,1.0478686818,53,28450,"Rank 53 : Kenosha, WI Metro Area"
"Killeen-Temple, TX Metro Area",0.0169422986,0.0161831526,1.0469096512,54,28660,"Rank 54 : Killeen-Temple, TX Metro Area"
"San Luis Obispo-Paso Robles, CA Metro Area",0.0218010158,0.021226677,1.0270574032,55,42020,"Rank 55 : San Luis Obispo-Paso Robles, CA Metro Area"
"Spokane-Spokane Valley, WA Metro Area",0.0221400992,0.0216402023,1.0231003803,56,44060,"Rank 56 : Spokane-Spokane Valley, WA Metro Area"
"Boise City, ID Metro Area",0.0319848456,0.031370447,1.0195852657,57,14260,"Rank 57 : Boise City, ID Metro Area"
"Des Moines-West Des Moines, IA Metro Area",0.0257336603,0.0254021627,1.0130499754,58,19780,"Rank 58 : Des Moines-West Des Moines, IA Metro Area"
"North Port-Bradenton-Sarasota, FL Metro Area",0.0333014444,0.0329373844,1.0110530929,59,35840,"Rank 59 : North Port-Bradenton-Sarasota, FL Metro Area"
"Rapid City, SD Metro Area",0.0307687114,0.0306383076,1.0042562329,60,39660,"Rank 60 : Rapid City, SD Metro Area"
"San Antonio-New Braunfels, TX Metro Area",0.0549569818,0.0548385251,1.0021601001,61,41700,"Rank 61 : San Antonio-New Braunfels, TX Metro Area"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.0201984531,0.0201669387,1.001562676,62,33460,"Rank 62 : Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
"Richmond, VA Metro Area",0.0177082282,0.0177832657,0.995780444,63,40060,"Rank 63 : Richmond, VA Metro Area"
"Sherman-Denison, TX Metro Area",0.0278192417,0.0289729739,0.9601790205,64,43300,"Rank 64 : Sherman-Denison, TX Metro Area"
"Port St. Lucie, FL Metro Area",0.0227318857,0.0236755046,0.9601436596,65,38940,"Rank 65 : Port St. Lucie, FL Metro Area"
"Tucson, AZ Metro Area",0.0208294032,0.0220434864,0.9449232668,66,46060,"Rank 66 : Tucson, AZ Metro Area"
"Raleigh-Cary, NC Metro Area",0.0359697249,0.0380795119,0.9445952205,67,39580,"Rank 67 : Raleigh-Cary, NC Metro Area"
"Trenton-Princeton, NJ Metro Area",0.0324395653,0.0347091222,0.934612092,68,45940,"Rank 68 : Trenton-Princeton, NJ Metro Area"
"Slidell-Mandeville-Covington, LA Metro Area",0.0317234994,0.0339505813,0.9344022459,69,43640,"Rank 69 : Slidell-Mandeville-Covington, LA Metro Area"
"Hot Springs, AR Metro Area",0.0165904225,0.0180173291,0.9208036598,70,26300,"Rank 70 : Hot Springs, AR Metro Area"
"Gainesville, FL Metro Area",0.0299173618,0.0325066543,0.9203457699,71,23540,"Rank 71 : Gainesville, FL Metro Area"
"Morristown, TN Metro Area",0.0254959379,0.0277183692,0.9198209956,72,34100,"Rank 72 : Morristown, TN Metro Area"
"Fort Wayne, IN Metro Area",0.0339757295,0.0371634563,0.914224157,73,23060,"Rank 73 : Fort Wayne, IN Metro Area"
"Olympia-Lacey-Tumwater, WA Metro Area",0.0265224814,0.0290171754,0.9140269874,74,36500,"Rank 74 : Olympia-Lacey-Tumwater, WA Metro Area"
"Provo-Orem-Lehi, UT Metro Area",0.0511470459,0.0566859052,0.9022885961,75,39340,"Rank 75 : Provo-Orem-Lehi, UT Metro Area"
"Chattanooga, TN-GA Metro Area",0.0223060189,0.024788396,0.8998572936,76,16860,"Rank 76 : Chattanooga, TN-GA Metro Area"
"Colorado Springs, CO Metro Area",0.0223156047,0.0248514259,0.8979607384,77,17820,"Rank 77 : Colorado Springs, CO Metro Area"
"Midland, TX Metro Area",0.1568004667,0.176064304,0.8905863546,78,33260,"Rank 78 : Midland, TX Metro Area"
"Manchester-Nashua, NH Metro Area",0.0210107945,0.0238729886,0.8801074236,79,31700,"Rank 79 : Manchester-Nashua, NH Metro Area"
"Worcester, MA Metro Area",0.0168271243,0.0191365305,0.8793194905,80,49340,"Rank 80 : Worcester, MA Metro Area"
"Fayetteville-Springdale-Rogers, AR Metro Area",0.0416689299,0.0474542813,0.8780857855,81,22220,"Rank 81 : Fayetteville-Springdale-Rogers, AR Metro Area"
"Salem, OR Metro Area",0.0249656125,0.0285406517,0.8747386985,82,41420,"Rank 82 : Salem, OR Metro Area"
"El Paso, TX Metro Area",0.0361138286,0.041430107,0.8716807951,83,21340,"Rank 83 : El Paso, TX Metro Area"
"Bremerton-Silverdale-Port Orchard, WA Metro Area",0.0168503096,0.0193418122,0.8711856692,84,14740,"Rank 84 : Bremerton-Silverdale-Port Orchard, WA Metro Area"
"Little Rock-North Little Rock-Conway, AR Metro Area",0.0182650228,0.0210218228,0.8688600886,85,30780,"Rank 85 : Little Rock-North Little Rock-Conway, AR Metro Area"
"Madison, WI Metro Area",0.021169956,0.0244351075,0.8663745811,86,31540,"Rank 86 : Madison, WI Metro Area"
"McAllen-Edinburg-Mission, TX Metro Area",0.0181029811,0.0209334087,0.8647889793,87,32580,"Rank 87 : McAllen-Edinburg-Mission, TX Metro Area"
"Mobile, AL Metro Area",0.0165735433,0.0192003392,0.8631901344,88,33660,"Rank 88 : Mobile, AL Metro Area"
"Knoxville, TN Metro Area",0.0214638709,0.024896337,0.8621296737,89,28940,"Rank 89 : Knoxville, TN Metro Area"
"Baltimore-Columbia-Towson, MD Metro Area",0.0191840243,0.0222779115,0.8611231041,90,12580,"Rank 90 : Baltimore-Columbia-Towson, MD Metro Area"
"Appleton, WI Metro Area",0.0239635995,0.0278840746,0.8594009232,91,11540,"Rank 91 : Appleton, WI Metro Area"
"Portland-South Portland, ME Metro Area",0.0256414918,0.0301274153,0.8511016151,92,38860,"Rank 92 : Portland-South Portland, ME Metro Area"
"Jackson, MI Metro Area",0.0227304609,0.0267095855,0.8510225988,93,27100,"Rank 93 : Jackson, MI Metro Area"
"Harrisburg-Carlisle, PA Metro Area",0.0145285896,0.0171291909,0.84817722,94,25420,"Rank 94 : Harrisburg-Carlisle, PA Metro Area"
"Waco, TX Metro Area",0.0271328264,0.0322889462,0.8403131603,95,47380,"Rank 95 : Waco, TX Metro Area"
"Laredo, TX Metro Area",0.0465725593,0.0558447646,0.8339646456,96,29700,"Rank 96 : Laredo, TX Metro Area"
"Burlington, NC Metro Area",0.0191443906,0.0231797585,0.8259098398,97,15500,"Rank 97 : Burlington, NC Metro Area"
"Kankakee, IL Metro Area",0.0341318539,0.0417633479,0.8172681472,98,28100,"Rank 98 : Kankakee, IL Metro Area"
"Birmingham, AL Metro Area",0.0150350769,0.0185115896,0.8121980459,99,13820,"Rank 99 : Birmingham, AL Metro Area"
"Greeley, CO Metro Area",0.0670330594,0.0825584955,0.811946233,100,24540,"Rank 100 : Greeley, CO Metro Area"
"Akron, OH Metro Area",0.0135827425,0.0168414642,0.8065060311,101,10420,"Rank 101 : Akron, OH Metro Area"
"Fresno, CA Metro Area",0.0241098137,0.0299552579,0.8048608302,102,23420,"Rank 102 : Fresno, CA Metro Area"
"St. Cloud, MN Metro Area",0.0169156603,0.0210948879,0.8018843397,103,41060,"Rank 103 : St. Cloud, MN Metro Area"
"Detroit-Warren-Dearborn, MI Metro Area",0.0202071522,0.0252853119,0.7991656318,104,19820,"Rank 104 : Detroit-Warren-Dearborn, MI Metro Area"
"Santa Rosa-Petaluma, CA Metro Area",0.0214204723,0.0268043188,0.7991425719,105,42220,"Rank 105 : Santa Rosa-Petaluma, CA Metro Area"
"Kennewick-Richland, WA Metro Area",0.0238789339,0.029928287,0.797871723,106,28420,"Rank 106 : Kennewick-Richland, WA Metro Area"
"Anchorage, AK Metro Area",0.0192887259,0.0242366774,0.7958486058,107,11260,"Rank 107 : Anchorage, AK Metro Area"
"Brownsville-Harlingen, TX Metro Area",0.0201931601,0.0256052305,0.7886341836,108,15180,"Rank 108 : Brownsville-Harlingen, TX Metro Area"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",0.0171224233,0.0217579357,0.7869507273,109,47900,"Rank 109 : Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area"
"Fargo, ND-MN Metro Area",0.0240006478,0.0305269341,0.7862121919,110,22020,"Rank 110 : Fargo, ND-MN Metro Area"
"Tyler, TX Metro Area",0.018877015,0.0240227291,0.7857981024,111,46340,"Rank 111 : Tyler, TX Metro Area"
"Lansing-East Lansing, MI Metro Area",0.0253769286,0.0323084226,0.7854586049,112,29620,"Rank 112 : Lansing-East Lansing, MI Metro Area"
"Palm Bay-Melbourne-Titusville, FL Metro Area",0.0289670278,0.0371410727,0.7799189874,113,37340,"Rank 113 : Palm Bay-Melbourne-Titusville, FL Metro Area"
"Albany, OR Metro Area",0.0202093778,0.0259714037,0.7781396046,114,10540,"Rank 114 : Albany, OR Metro Area"
"Lewiston-Auburn, ME Metro Area",0.0160000794,0.0206344426,0.7754064263,115,30340,"Rank 115 : Lewiston-Auburn, ME Metro Area"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.0132381006,0.0171672697,0.7711244028,116,37980,"Rank 116 : Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area"
"Lincoln, NE Metro Area",0.0244416415,0.0317060986,0.7708813938,117,30700,"Rank 117 : Lincoln, NE Metro Area"
"Lexington-Fayette, KY Metro Area",0.0271688181,0.035380527,0.7679031483,118,30460,"Rank 118 : Lexington-Fayette, KY Metro Area"
"Lake Havasu City-Kingman, AZ Metro Area",0.023662524,0.0309914178,0.7635186035,119,29420,"Rank 119 : Lake Havasu City-Kingman, AZ Metro Area"
"Oklahoma City, OK Metro Area",0.0414089975,0.054440528,0.7606281399,120,36420,"Rank 120 : Oklahoma City, OK Metro Area"
"Albany-Schenectady-Troy, NY Metro Area",0.0186201198,0.0246208924,0.7562731487,121,10580,"Rank 121 : Albany-Schenectady-Troy, NY Metro Area"
"Reading, PA Metro Area",0.0145269384,0.0193325777,0.751422735,122,39740,"Rank 122 : Reading, PA Metro Area"
"Idaho Falls, ID Metro Area",0.0310169031,0.0415170876,0.7470876428,123,26820,"Rank 123 : Idaho Falls, ID Metro Area"
"Springfield, MO Metro Area",0.0180919589,0.0243975859,0.7415470948,124,44180,"Rank 124 : Springfield, MO Metro Area"
"Amherst Town-Northampton, MA Metro Area",0.0136816491,0.018478446,0.7404112399,125,11200,"Rank 125 : Amherst Town-Northampton, MA Metro Area"
"Milwaukee-Waukesha, WI Metro Area",0.0155978516,0.0210670145,0.7403921238,126,33340,"Rank 126 : Milwaukee-Waukesha, WI Metro Area"
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area",0.0302761323,0.041357084,0.7320664169,127,42680,"Rank 127 : Sebastian-Vero Beach-West Vero Corridor, FL Metro Area"
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",0.0137338767,0.0188381655,0.7290453351,128,28880,"Rank 128 : Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area"
"Stockton-Lodi, CA Metro Area",0.0209082545,0.0287515791,0.7272036944,129,44700,"Rank 129 : Stockton-Lodi, CA Metro Area"
"Ocala, FL Metro Area",0.0230174119,0.031697507,0.7261584308,130,36100,"Rank 130 : Ocala, FL Metro Area"
"Sumter, SC Metro Area",0.0162875138,0.0224476085,0.7255790235,131,44940,"Rank 131 : Sumter, SC Metro Area"
"State College, PA Metro Area",0.0162526834,0.0225667249,0.7202056758,132,44300,"Rank 132 : State College, PA Metro Area"
"Lancaster, PA Metro Area",0.0170715976,0.0237842251,0.7177697613,133,29540,"Rank 133 : Lancaster, PA Metro Area"
"Eau Claire, WI Metro Area",0.0228279783,0.0320949835,0.7112631264,134,20740,"Rank 134 : Eau Claire, WI Metro Area"
"Chicago-Naperville-Elgin, IL-IN Metro Area",0.0157874201,0.0224258918,0.7039818177,135,16980,"Rank 135 : Chicago-Naperville-Elgin, IL-IN Metro Area"
"Lawrence, KS Metro Area",0.0149970206,0.0214603529,0.6988245099,136,29940,"Rank 136 : Lawrence, KS Metro Area"
"New York-Newark-Jersey City, NY-NJ Metro Area",0.0126904132,0.018182661,0.6979403707,137,35620,"Rank 137 : New York-Newark-Jersey City, NY-NJ Metro Area"
"Oshkosh-Neenah, WI Metro Area",0.0132702118,0.0190636338,0.6961008571,138,36780,"Rank 138 : Oshkosh-Neenah, WI Metro Area"
"Modesto, CA Metro Area",0.0175561778,0.025304841,0.6937873203,139,33700,"Rank 139 : Modesto, CA Metro Area"
"Santa Cruz-Watsonville, CA Metro Area",0.022562892,0.0328860374,0.6860933645,140,42100,"Rank 140 : Santa Cruz-Watsonville, CA Metro Area"
"Lebanon, PA Metro Area",0.0160794638,0.0234790586,0.6848427841,141,30140,"Rank 141 : Lebanon, PA Metro Area"
"Corvallis, OR Metro Area",0.0185311404,0.0271689892,0.6820695547,142,18700,"Rank 142 : Corvallis, OR Metro Area"
"Bellingham, WA Metro Area",0.0289352668,0.0425846625,0.6794762506,143,13380,"Rank 143 : Bellingham, WA Metro Area"
"Warner Robins, GA Metro Area",0.0156256933,0.0230551414,0.6777530887,144,47580,"Rank 144 : Warner Robins, GA Metro Area"
"Pocatello, ID Metro Area",0.0121765829,0.0181416302,0.6711956257,145,38540,"Rank 145 : Pocatello, ID Metro Area"
"Dothan, AL Metro Area",0.0159993469,0.0241872498,0.6614785487,146,20020,"Rank 146 : Dothan, AL Metro Area"
"Toledo, OH Metro Area",0.0193807514,0.0293096837,0.6612405504,147,45780,"Rank 147 : Toledo, OH Metro Area"
"Reno, NV Metro Area",0.0440307432,0.0668447927,0.6587011697,148,39900,"Rank 148 : Reno, NV Metro Area"
"Buffalo-Cheektowaga, NY Metro Area",0.0104410512,0.0159414674,0.654961735,149,15380,"Rank 149 : Buffalo-Cheektowaga, NY Metro Area"
"Grand Rapids-Wyoming-Kentwood, MI Metro Area",0.0215119983,0.0329718947,0.6524343984,150,24340,"Rank 150 : Grand Rapids-Wyoming-Kentwood, MI Metro Area"
"Augusta-Richmond County, GA-SC Metro Area",0.0126573066,0.019420559,0.6517477994,151,12260,"Rank 151 : Augusta-Richmond County, GA-SC Metro Area"
"Visalia, CA Metro Area",0.0289604815,0.0444730795,0.6511912799,152,47300,"Rank 152 : Visalia, CA Metro Area"
"Merced, CA Metro Area",0.0198328281,0.0310132312,0.6394957035,153,32900,"Rank 153 : Merced, CA Metro Area"
"Greenville-Anderson-Greer, SC Metro Area",0.0259900336,0.0411583981,0.6314636834,154,24860,"Rank 154 : Greenville-Anderson-Greer, SC Metro Area"
"Prescott Valley-Prescott, AZ Metro Area",0.0208036224,0.0331424756,0.6277027297,155,39150,"Rank 155 : Prescott Valley-Prescott, AZ Metro Area"
"Panama City-Panama City Beach, FL Metro Area",0.0166241,0.0272713336,0.6095814853,156,37460,"Rank 156 : Panama City-Panama City Beach, FL Metro Area"
"Memphis, TN-MS-AR Metro Area",0.0162552504,0.0267230696,0.6082853,157,32820,"Rank 157 : Memphis, TN-MS-AR Metro Area"
"Great Falls, MT Metro Area",0.0154814531,0.0254737411,0.6077416345,158,24500,"Rank 158 : Great Falls, MT Metro Area"
"Joplin, MO-KS Metro Area",0.0152033078,0.0255136443,0.5958893043,159,27900,"Rank 159 : Joplin, MO-KS Metro Area"
"Roanoke, VA Metro Area",0.0180377969,0.030330509,0.5947080197,160,40220,"Rank 160 : Roanoke, VA Metro Area"
"Brunswick-St. Simons, GA Metro Area",0.0108047709,0.0182450552,0.5922026952,161,15260,"Rank 161 : Brunswick-St. Simons, GA Metro Area"
"Bowling Green, KY Metro Area",0.0243805848,0.0415244987,0.587137367,162,14540,"Rank 162 : Bowling Green, KY Metro Area"
"La Crosse-Onalaska, WI-MN Metro Area",0.0138664074,0.0237225038,0.5845254603,163,29100,"Rank 163 : La Crosse-Onalaska, WI-MN Metro Area"
"Las Vegas-Henderson-North Las Vegas, NV Metro Area",0.0255531943,0.0437943299,0.5834817973,164,29820,"Rank 164 : Las Vegas-Henderson-North Las Vegas, NV Metro Area"
"Rochester, MN Metro Area",0.0165069912,0.0287343896,0.5744681324,165,40340,"Rank 165 : Rochester, MN Metro Area"
"Billings, MT Metro Area",0.0249052406,0.0434638522,0.5730104295,166,13740,"Rank 166 : Billings, MT Metro Area"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0.0139856697,0.0245547639,0.5695705247,167,10900,"Rank 167 : Allentown-Bethlehem-Easton, PA-NJ Metro Area"
"Cheyenne, WY Metro Area",0.0198375116,0.0349280282,0.5679539515,168,16940,"Rank 168 : Cheyenne, WY Metro Area"
"Elkhart-Goshen, IN Metro Area",0.0625836045,0.1108236604,0.5647133863,169,21140,"Rank 169 : Elkhart-Goshen, IN Metro Area"
"Wheeling, WV-OH Metro Area",0.0331715131,0.0587850534,0.5642848168,170,48540,"Rank 170 : Wheeling, WV-OH Metro Area"
"Providence-Warwick, RI-MA Metro Area",0.0117496359,0.0209008513,0.5621606399,171,39300,"Rank 171 : Providence-Warwick, RI-MA Metro Area"
"Midland, MI Metro Area",0.026873881,0.0479829003,0.5600720421,172,33220,"Rank 172 : Midland, MI Metro Area"
"Altoona, PA Metro Area",0.009029162,0.0161812054,0.5580030517,173,11020,"Rank 173 : Altoona, PA Metro Area"
"Yakima, WA Metro Area",0.0157125582,0.0281828838,0.5575213074,174,49420,"Rank 174 : Yakima, WA Metro Area"
"Auburn-Opelika, AL Metro Area",0.0162340735,0.0291223691,0.5574434355,175,12220,"Rank 175 : Auburn-Opelika, AL Metro Area"
"Tallahassee, FL Metro Area",0.0136852098,0.0248090905,0.5516207796,176,45220,"Rank 176 : Tallahassee, FL Metro Area"
"Pueblo, CO Metro Area",0.017088139,0.0311386188,0.5487763959,177,39380,"Rank 177 : Pueblo, CO Metro Area"
"Cedar Rapids, IA Metro Area",0.0164767438,0.030195549,0.545667968,178,16300,"Rank 178 : Cedar Rapids, IA Metro Area"
"Wausau, WI Metro Area",0.0151367754,0.0277674692,0.545126214,179,48140,"Rank 179 : Wausau, WI Metro Area"
"South Bend-Mishawaka, IN-MI Metro Area",0.0291693626,0.053852307,0.5416548374,180,43780,"Rank 180 : South Bend-Mishawaka, IN-MI Metro Area"
"El Centro, CA Metro Area",0.0310852502,0.0574523389,0.5410615268,181,20940,"Rank 181 : El Centro, CA Metro Area"
"Asheville, NC Metro Area",0.0179941896,0.0336206286,0.5352127654,182,11700,"Rank 182 : Asheville, NC Metro Area"
"Muskegon-Norton Shores, MI Metro Area",0.0129884196,0.0244238912,0.5317915752,183,34740,"Rank 183 : Muskegon-Norton Shores, MI Metro Area"
"Salinas, CA Metro Area",0.0186383499,0.0351619152,0.5300720922,184,41500,"Rank 184 : Salinas, CA Metro Area"
"Florence, SC Metro Area",0.0139952945,0.0265900526,0.5263357211,185,22500,"Rank 185 : Florence, SC Metro Area"
"Dubuque, IA Metro Area",0.0265906009,0.0505863725,0.5256475124,186,20220,"Rank 186 : Dubuque, IA Metro Area"
"Bloomington, IN Metro Area",0.0172686985,0.0331098242,0.5215581464,187,14020,"Rank 187 : Bloomington, IN Metro Area"
"Spartanburg, SC Metro Area",0.0185441175,0.0356684664,0.519902294,188,43900,"Rank 188 : Spartanburg, SC Metro Area"
"Battle Creek, MI Metro Area",0.0137844916,0.0268091216,0.5141716967,189,12980,"Rank 189 : Battle Creek, MI Metro Area"
"Springfield, MA Metro Area",0.0093287018,0.0182536147,0.5110605168,190,44140,"Rank 190 : Springfield, MA Metro Area"
